id,Born in Australia,Born overseas,Total
Christian,10139112.6,3011487.4,13150600
Catholic,4133792,1305408,5439200
Anglican,3036000,644000,3680000
Uniting Church,944298.8,121501.2,1065800
Presbyterian and Reformed,441831.5,157668.5,599500
Eastern Orthodox,317588.4,245511.6,563100
Baptist,250980,101520,352500
Lutheran,190184.5,61715.5,251900
Pentecostal,160412,77588,238000
Other Christian,662883,297817,960700
Non-Christian,510279,1036021,1546300
Buddhism,161874,367126,529000
Islam,183375.5,292924.5,476300
Hinduism,43253.5,232246.5,275500
Judaism,49720.3,47579.7,97300
Other non-Christian,71989.6,96210.4,168200
No Religion,3717520,1079280,4796800
