Years	Male	Female	All 
0	34.4	34	68.4
1	32.3	32.2	64.5
2	31.6	31.2	62.8
3	30.6	30.1	60.7
4	29.2	28.9	58.1
5	27.7	27.3	55
6	26.6	26.1	52.7
7	25.5	25	50.5
8	24.9	24.1	49
9	24.2	23.8	48
10	23.7	23.3	47
11	23.3	22.7	46
12	23.3	22.6	45.9
13	23.1	22.5	45.6
14	23.2	22.6	45.8
15	23.8	22.9	46.7
16	24.3	23.6	47.9
17	25.1	24.3	49.4
18	26.7	26.2	52.9
19	28	27.6	55.6
20	29.4	28.9	58.3
21	30.3	29.8	60.1
22	31.4	30.7	62.1
23	31.7	30.8	62.5
24	31.6	30.4	62
25	31.3	29.5	60.8
26	31	28.8	59.8
27	31.1	28.6	59.7
28	31.1	28	59.1
29	30.4	27.6	58
30	30	26.9	56.9
31	29.3	26.3	55.6
32	29.1	25.8	54.9
33	29.1	25.3	54.4
34	28.6	24.8	53.4
35	28.4	24.3	52.7
36	27.7	23.8	51.5
37	27.3	23.1	50.4
38	26.8	22.5	49.3
39	26.3	21.9	48.2
40	25.8	21.3	47.1
41	24.7	20.3	45
42	24.3	19.9	44.2
43	23.5	19.2	42.7
44	22.8	18.6	41.4
45	22.3	18.3	40.6
46	22.3	18.1	40.4
47	22.3	18.2	40.5
48	22.4	18.3	40.7
49	21.9	18	39.9
50	21.6	17.8	39.4
51	21.5	17.3	38.8
52	21.2	17.1	38.3
53	21.4	17.1	38.5
54	21.4	16.9	38.3
55	21.2	16.5	37.7
56	20.9	16.4	37.3
57	20.9	15.8	36.7
58	20.5	15.2	35.7
59	19.8	14.7	34.5
60	19.6	14	33.6
61	19.1	13.7	32.8
62	18.4	13	31.4
63	17.7	12.5	30.2
64	17.5	12	29.5
65	16.3	11.3	27.6
66	15.9	10.8	26.7
67	15.4	10.2	25.6
68	14.6	9.9	24.5
69	14.1	9.7	23.8
70	13.6	9	22.6
71	13	8.4	21.4
72	12.5	8	20.5
73	12.3	8	20.3
74	11.8	7.8	19.6
75	11.5	7.5	19
76	11.3	7.3	18.6
77	11.3	7.2	18.5
78	11	7	18
79	11	6.8	17.8
80	10.8	6.8	17.6
81	10.6	6.9	17.5
82	10.5	6.7	17.2
83	10.5	6.6	17.1
84	10.3	6.2	16.5
85	10.5	6.4	16.9
86	10.5	6.1	16.6
87	10.4	6	16.4
88	10	6.1	16.1
89	10.1	6.2	16.3
90	10.6	6.2	16.8
91	10.7	6.4	17.1
92	10.7	6.2	16.9
93	10.4	5.9	16.3
94	10	6.4	16.4
95	11	6.6	17.6
96	9.3	6.6	15.9
97	9.1	5.9	15
98	12.3	6.1	18.4
99	10.2	6.8	17
100	11.1	6.4	17.5
